,Zipcode,score,index,Population 16 years and over,Employed,Unemployed,Median household income (dollars),Mean household income (dollars)
0,37072,15,1,"26,286","16,322",918,"72,370","94,674"
1,37076,25,2,"31,301","21,257",805,"68,894","87,509"
2,37115,30,3,"33,647","21,552","1,438","55,313","69,650"
3,37138,20,4,"19,096","12,334",234,"87,465","112,166"
4,37189,0,5,"3,338","2,324",123,"88,804","108,107"
5,37201,5,6,"1,443",971,0,"106,460","137,564"
6,37203,25,7,"17,629","12,873",431,"63,834","94,336"
7,37204,10,8,"14,195","10,803",196,"104,987","178,418"
8,37205,5,9,"21,762","13,463",238,"136,100","222,323"
9,37206,20,10,"23,490","17,719",898,"80,915","114,377"
10,37207,20,11,"31,065","21,146","1,181","59,973","72,606"
11,37208,30,12,"17,880","11,165",687,"59,050","86,858"
12,37209,30,13,"32,906","24,256",927,"68,898","98,701"
13,37210,25,14,"13,611","8,504",437,"41,736","68,462"
14,37211,30,15,"59,693","40,881","2,242","64,856","84,503"
15,37212,10,16,"18,991","11,749",481,"83,458","178,515"
16,37213,10,17,22,13,0,-,N
17,37214,15,18,"26,397","18,643",678,"71,582","87,408"
18,37215,15,19,"18,696","11,798",217,"148,074","217,318"
19,37216,20,20,"16,092","11,624",428,"74,693","99,706"
20,37217,10,21,"24,380","17,265",908,"57,084","72,426"
21,37218,20,22,"12,129","6,052",586,"55,813","77,147"
22,37219,10,23,"1,609","1,503",0,"96,776","99,317"
23,37220,0,24,"4,837","3,218",60,"150,132","230,199"
24,37221,15,25,"35,020","24,535",964,"96,623","122,269"
25,37228,10,26,"2,251","1,777",118,"65,930","120,574"
