Station Number,Street Address,City,State,ZIP Code,coord
Station 4,5111 Harding Place,Nashville,TN,37211,"(36.089971986, -86.687167979)"
Station 3,840 Meridian Avenue,Nashville,TN,37207,"(36.186575012, -86.768455006)"
Station 7,638 Davidson Road,Nashville,TN,37205,"(36.117906019, -86.88698903)"
Station 34,8350 Highway 70 South,Nashville,TN,37221,"(36.092133008, -86.982673987)"
Station 33,2501 Forest View Drive,Antioch,TN,37013,"(36.067409998, -86.630679987)"
Station 18,1151 East Cahal Avenue,Nashville,TN,37206,"(36.196550986, -86.737414974)"
Station 28,2394 Lebanon Road,Nashville,TN,37214,"(36.169457993, -86.682819029)"
Station 13,410 45th Avenue North,Nashville,TN,37209,"(36.153039018, -86.840587988)"
Station 5,1101 8th Ave S,Nashville,TN,37203,"(36.143323009, -86.779164982)"
Station 22,2781 Pennington Bend,Nashville,TN,37214,"(36.21669601, -86.688460972)"
Station 38,201 Larkin Springs Road,Madison,TN,37115,"(36.260476995, -86.68394497)"
Station 26,5410 Hickory Park Drive,Antioch,TN,37013,"(36.040412013, -86.671862959)"
Station 8,2010 12th Avenue South,Nashville,TN,37212,"(36.133214015, -86.788424974)"
Station 31,415 Douglas Avenue,Madison,TN,37115,"(36.259230125, -86.715975905)"
Station 20,1626 Harding Place,Nashville,TN,37215,"(36.091605996, -86.826450986)"
Station 27,4720 Trousdale Drive,Nashville,TN,37204,"(36.078266993, -86.75810302)"
Station 24,3851 Clarksville Highway,Nashville,TN,37218,"(36.203601005, -86.841011023)"
Station 30,3705 Old Clarksville Pike,Joelton,TN,37080,"(36.316007984, -86.877153035)"
Station 14,1600 Holly Street,Nashville,TN,37206,"(36.175165021, -86.742004988)"
Station 35,2034 Hobson Pike,Antioch,TN,37013,"(36.052198981, -86.598547039)"
Station 36,1000 Donelson Street,Old Hickory,TN,37138,"(36.264506009, -86.648026)"
Station 1,130 Broadmoor Avenue,Nashville,TN,37207,"(36.22931199, -86.756742972)"
Station 21,320 Joyner Avenue,Nashville,TN,37211,"(36.116803003, -86.747042009)"
Station 25,2589 Whites Creek Pike,Nashville,TN,37207,"(36.216178008, -86.801442991)"
Station 41,105 Long Hollow Pk,Goodlettsville,TN,37072,"(36.322107998, -86.712107997)"
Station 40,4031 Plantation Drive,Hermitage,TN,37076,"(36.200399616, -86.621380162)"
Station 23,6215 Centennial Blvd.,Nashville,TN,37209,"(36.168769, -86.861846003)"
Station 11,1745 18th Avenue North,Nashville,TN,37208,"(36.17912025, -86.810715374)"
Station 6,377 Haywood Lane,Nashville,TN,37211,"(36.068407989, -86.716906972)"
Station 17,3911 West End Avenue,Nashville,TN,37205,"(36.130634987, -86.835838969)"
Station 32,4248 Andrew Jackson Parkway,Hermitage,TN,37076,"(36.200212997, -86.610580015)"
Station 19,520 26th Avenue North,Nashville,TN,37203,"(36.155850015, -86.81594997)"
Station 29,4201 Gallatin Road,Nashville,TN,37216,"(36.224044005, -86.726131005)"
Station 10,15530 Old Hickory Blvd.,Nashville,TN,37211,"(36.040203011, -86.740323997)"
Station 39,1247 South Dickerson Road,Goodlettsville,TN,37072,"(36.290595407, -86.738317893)"
Station 15,1320 Vultee Boulevard,Nashville,TN,37217,"(36.124778006, -86.697562964)"
Station 16,2219 21st Avenue South,Nashville,TN,37212,"(36.129612981, -86.80269399)"
Station 12,101 Polk Avenue,Nashville,TN,37210,"(36.141233987, -86.742486026)"
Station 9,601 2nd Avenue South,Nashville,TN,37210,"(36.155525525, -86.771139365)"
Station 37,656 Colice Jean Road,Nashville,TN,37221,"(36.071896998, -86.934322979)"
