Resource Name/Number,Resource Type,Street Address,City,State,Zip Code,address,city,coords
Station 12,Fire Station,101 Polk Avenue,Nashville,TN,37210,101 Polk Avenue,"Nashville, TN 37210","(36.141361, -86.742942)"
Station 8,Fire Station,2010 12th Avenue South,Nashville,TN,37212,2010 12th Avenue South,"Nashville, TN 37212","(36.133044, -86.78875)"
Station 19,Fire Station,349 21st Avenue North,Nashville,TN,37203,349 21st Avenue North,"Nashville, TN 37203","(36.156509, -86.806429)"
Station 10,Fire Station,15530 Old Hickory Blvd.,Nashville,TN,37211,15530 Old Hickory Blvd.,"Nashville, TN 37211","(36.039834, -86.740496)"
Station 36,Fire Station,1000 Donelson Street,Old Hickory,TN,37138,1000 Donelson Street,"Old Hickory, TN 37138","(36.264093, -86.648087)"
Station 21,Fire Station,320 Joyner Avenue,Nashville,TN,37211,320 Joyner Avenue,"Nashville, TN 37211","(36.116466, -86.747067)"
Station 32,Fire Station,4031 Plantation Drive,Hermitage,TN,37076,4031 Plantation Drive,"Hermitage, TN 37076","(36.20044, -86.621467)"
Station 20,Fire Station,1626 Harding Place,Nashville,TN,37215,1626 Harding Place,"Nashville, TN 37215","(36.0911, -86.82559)"
Station 39,Fire Station,1247 South Dickerson Road,Goodlettsville,TN,37072,1247 South Dickerson Road,"Goodlettsville, TN 37072","(36.290544, -86.738286)"
Station 13,Fire Station,410 45th Avenue North,Nashville,TN,37209,410 45th Avenue North,"Nashville, TN 37209","(36.153027, -86.840928)"
Station 24,Fire Station,3851 Clarksville Highway,Nashville,TN,37218,3851 Clarksville Highway,"Nashville, TN 37218","(36.203627, -86.840622)"
Station 29,Fire Station,4201 Gallatin Road,Nashville,TN,37216,4201 Gallatin Road,"Nashville, TN 37216","(36.224081, -86.725628)"
Station 9,Fire Station,601 2nd Avenue South,Nashville,TN,37210,601 2nd Avenue South,"Nashville, TN 37210","(36.155603, -86.77111)"
Station 7,Fire Station,638 Davidson Road,Nashville,TN,37205,638 Davidson Road,"Nashville, TN 37205","(36.117532, -86.886904)"
Station 6,Fire Station,377 Haywood Lane,Nashville,TN,37211,377 Haywood Lane,"Nashville, TN 37211","(36.068801, -86.716832)"
Station 18,Fire Station,1151 East Cahal Avenue,Nashville,TN,37206,1151 East Cahal Avenue,"Nashville, TN 37206","(36.196194, -86.737514)"
Station 3,Fire Station,840 Meridian Avenue,Nashville,TN,37207,840 Meridian Avenue,"Nashville, TN 37207","(36.186602, -86.768085)"
Station 15,Fire Station,1320 Vultee Boulevard,Nashville,TN,37217,1320 Vultee Boulevard,"Nashville, TN 37217","(36.12441, -86.697595)"
Station 26,Fire Station,5410 Hickory Park Drive,Antioch,TN,37013,5410 Hickory Park Drive,"Antioch, TN 37013","(36.040221, -86.672225)"
